experiment,timestamp,dataset,nhid,kernel_size,dropout,batch_size,n_epochs,lr,seed,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_auc,std_auc
pc-gita_dropout00,2026-05-30 13:13:42,pc-gita,32,3,0.0,32,200,0.001,42,0.5917,0.0574,0.6025,0.0726,0.5667,0.0935,0.6167,0.1236,0.5793,0.0648,0.6355,0.048
pc_gita_dropout02,2026-05-30 11:17:29,pc-gita,32,3,0.2,32,200,0.001,42,0.5817,0.0965,0.5876,0.0926,0.58,0.1244,0.5833,0.1509,0.5786,0.0971,0.6123,0.1107
pcgita_nhid64_drop00,2026-06-06 12:07:04,pc-gita,64,3,0.0,32,200,0.001,42,0.5967,0.0867,0.599,0.0891,0.6233,0.0805,0.57,0.1488,0.6081,0.0714,0.6574,0.1252
pcgita_nhid64_drop0.2,2026-06-06 17:25:11,pc-gita,64,3,0.2,32,200,0.001,42,0.5917,0.0846,0.5902,0.0811,0.6133,0.1095,0.57,0.1266,0.5986,0.0877,0.6488,0.0774
pc-gita_nhid64_drop02_lr4,2026-06-07 20:27:01,pc-gita,64,3,0.2,32,200,0.0001,42,0.6467,0.0658,0.6501,0.0812,0.6533,0.0321,0.64,0.109,0.6506,0.0531,0.6904,0.0794
neurovoz_drop00,2026-06-07 21:23:10,neurovoz,32,3,0.0,32,200,0.001,42,0.6036,0.0308,0.6695,0.0341,0.5846,0.0631,0.6285,0.0651,0.6224,0.039,0.5964,0.0427
neurovoz_drop02,2026-06-07 21:56:41,neurovoz,32,3,0.2,32,200,0.001,42,0.5638,0.0101,0.6299,0.0232,0.5524,0.0834,0.5786,0.0997,0.5844,0.0422,0.5716,0.0365
neurovoz_nhid64_drop00,2026-06-08 11:20:04,neurovoz,64,3,0.0,32,200,0.001,42,0.5966,0.061,0.6501,0.0682,0.6426,0.0908,0.5379,0.1966,0.6407,0.0455,0.5904,0.0833
neurovoz_nhid64_drop02,2026-06-08 12:22:55,neurovoz,64,3,0.2,32,200,0.001,42,0.5836,0.0258,0.6389,0.0359,0.6108,0.1032,0.5485,0.1289,0.6189,0.0473,0.5797,0.0698
neurovoz_lr4_nhid64_drop02_lr4,2026-06-08 13:23:55,neurovoz,64,3,0.2,32,200,0.0001,42,0.5399,0.0363,0.6013,0.0423,0.5563,0.0782,0.5182,0.141,0.5744,0.0378,0.5582,0.0387
